requirement_id,requirement,category,primary_module,feature_id,function_id,user_request_message_count,assistant_response_message_count,source_proof,status,implementation_state,test_or_waiver,evidence_id,rollback,owner_acceptance
REQ-CANON-011,"Implement workflows with dependency graphs, state, idempotency, retries, checkpoints, queues, dead letters, evidence, and rollback.",workflow,MOD-WORKFLOW-RUNTIME,FEAT-011,FUNC-011,2264,13467,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-011,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-012,"Use branch, CI, review, staging, canary, production, monitoring, rollback, and owner-acceptance gates.",deployment,MOD-DEPLOYMENT,FEAT-012,FUNC-012,1251,5418,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-012,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-013,"Use non-destructive branches, commits, pull requests, deterministic CI, security scans, review, and rollback.",github_ci,MOD-DEPLOYMENT,FEAT-013,FUNC-013,1232,7286,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-013,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-014,"Enforce zero trust, least privilege, scoped identities, vault-backed secret references, supply-chain scans, audit, and incident response.",security,MOD-SECURITY-VAULT,FEAT-014,FUNC-014,2945,16985,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-014,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-015,"Require explicit approval for credentials, billing, destructive actions, external communications, money movement, live trading, production, and regulated actions.",approvals,MOD-AUTONOMY-GOVERNOR,FEAT-015,FUNC-015,2242,12886,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-015,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-016,"Maintain source-to-runtime traceability, hashes, tests or waivers, discrepancy records, proof states, and independent verification.",evidence,MOD-AUDIT-LEDGER,FEAT-016,FUNC-016,5604,23753,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-016,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-017,"Expose truthful progress, traffic lights, blockers, exact next actions, approvals, costs, evidence, and rollback in the Command Centre.",progress,MOD-DASHBOARD,FEAT-017,FUNC-017,1891,14979,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-017,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-018,"Maintain working, episodic, semantic, procedural, project, and audit memory with provenance, correction, retention, resume, export, and rollback.",memory,MOD-MEMORY-CONTINUITY,FEAT-018,FUNC-018,1855,9545,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-018,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-019,"Default to verified cached, deterministic, local, native, open, and free routes before justified paid escalation; track hard ceilings and unit cost.",cost,MOD-COST-ENGINE,FEAT-019,FUNC-019,5939,23049,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-019,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-020,"Support governed self-build, self-repair, self-update, scaffolding, simulation, testing, canary, promotion, and rollback.",self_build,MOD-SELF-BUILD,FEAT-020,FUNC-020,114,680,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-020,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-021,"Separate immutable raw sources, normalized records, domain data, memory, evidence, telemetry, and retention policies.",data,MOD-PROJECTS-KB,FEAT-021,FUNC-021,500,2806,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-021,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-022,"Use official-first research, source expansion, claim extraction, contradiction/freshness analysis, question generation, and evidence packs.",research,MOD-INTELLIGENCE-JOBS,FEAT-022,FUNC-022,3542,12834,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-022,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-023,"Provide role cards, SOPs, checklists, failure playbooks, simulations, competency tests, permission ceilings, and retraining triggers.",sop_ojt,MOD-OPERATOR-SUMMARIES,FEAT-023,FUNC-023,267,2340,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-023,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-024,"Every UI control must declare purpose, inputs, handler, approval, state, output, evidence, failure, retry, rollback, and next step.",ui_ux,MOD-CONSOLE-JARVIS-POP,FEAT-024,FUNC-024,1645,10392,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-024,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-025,"Define RPO/RTO, backups, restore tests, replay, degraded mode, failover, rollback ownership, and continuity packs.",backup,MOD-BACKUP-RECOVERY,FEAT-025,FUNC-025,641,5103,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-025,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-026,"Maintain research-only XRP/HBAR intelligence, catalysts, on-chain/market evidence, probabilities, discrepancy logs, and anti-hype controls.",xrp_hbar,MOD-XRP-HBAR-APEX,FEAT-026,FUNC-026,12251,17925,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-026,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-027,"Keep strategy research, backtesting, walk-forward validation, paper trading, risk, and broker/exchange integration owner-gated before live execution.",trading,MOD-TRADING-RESEARCH,FEAT-027,FUNC-027,1621,8416,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-027,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-028,"Maintain isolated finance, Xero, tax, trust, SMSF, invoice, cash-flow, portfolio, audit, and professional-review workflows.",cfo,MOD-AI-CFO,FEAT-028,FUNC-028,6757,13264,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-028,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-029,"Keep health workflows privacy-safe, evidence-tiered, non-diagnostic, consent-controlled, and professionally gated.",health,MOD-HEALTH,FEAT-029,FUNC-029,3612,8447,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-029,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-030,"Maintain property, buyer, lead, heritage, land-tax, valuation, sale, and capture-only promotion workflows.",property,MOD-PROPERTY,FEAT-030,FUNC-030,3281,6951,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-030,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-031,"Maintain automotive catalogue, fitment, workshop, parts, customer, supplier, repair, billing, and robotics workflows.",automotive,MOD-AUTOMOTIVE-JENOK,FEAT-031,FUNC-031,3241,7281,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-031,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-032,"Ingest copied links and media, transcribe, OCR, verify claims, preserve evidence, and route outputs to modules.",video,MOD-VIDEO-INTEL,FEAT-032,FUNC-032,2106,5854,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-032,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-033,"Discover, verify, rank, blueprint, build, and monitor lawful AI-enabled income opportunities without guaranteeing returns.",passive_income,MOD-PASSIVE-INCOME,FEAT-033,FUNC-033,1769,4129,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-033,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-034,"Maintain food, water, shelter, emergency, off-grid, seed, and physical preparedness intelligence.",survival,MOD-SURVIVAL,FEAT-034,FUNC-034,585,1718,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-034,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-035,"Keep frequency, Rife, PEMF, PBM, scalar, plasma, and related claims evidence-tiered and health-gated.",spooky2,MOD-SPOOKY2,FEAT-035,FUNC-035,1472,2935,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-035,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-036,"Maintain source-first residence requirements, architect briefs, visual references, decisions, gaps, and future updates.",dream_home,MOD-DREAM-HOME,FEAT-036,FUNC-036,909,6072,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-036,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-037,"Maintain grow, hydroponics, DWC, nutrients, seeds, environment, safety, and compliance requirements.",grow,MOD-GROW,FEAT-037,FUNC-037,595,1113,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-037,remove V21 candidate row; preserve source ledgers,PENDING
REQ-CANON-038,"Maintain immigration, citizenship, fines, contracts, personal administration, and professional legal review workflows.",legal_admin,MOD-LEGAL-ADMIN,FEAT-038,FUNC-038,1994,12193,23-Jul flattened export privacy-safe hash/pointer mapping; V34 rescan; V35 manifests,CANONICAL_CANDIDATE_MAPPED,NEEDS_REPOSITORY_RUNTIME_RECONCILIATION,V21 mapping coverage verifier,EVID-038,remove V21 candidate row; preserve source ledgers,PENDING
